course_link,course_name,course_number,course_organization,course_price,course_status
//ke.qq.com/course/452711,日语零基础直播体验课,5015人最近报名,艾蜗壳,免费,共17节
,,514人购买,张工教育,¥8822.22,课程4
,,9505人最近报名,王羽课堂,免费,共25节
//ke.qq.com/course/305390#term_id=100497369,【2020初级会计师2科】初级会计职称初级会计实务 CPA中级会计师,105人最近报名,一品老殷会计课,免费,共14节
,,55人购买,中磊国际科技有限公司,¥77.22,共26节
//ke.qq.com/course/293193#term_id=100497369,【VIP体验课】精选Java高并发分布式架构课【云析学院】,331人最近报名,云析学院,免费,共19节
//ke.qq.com/course/445711#term_id=100497369,Java零基础入门到精通（Spring/Mybatis/数据库/多线程/MVC）,678人最近报名,灵犀教育,免费,共54节
//ke.qq.com/course/216016#term_id=100497369,javaweb阶段（阶段二）,493人购买,拓薪教育,¥5966.22,共55节
//ke.qq.com/course/293061,安装直播公开课1-广联达BIM预算案例实操【启程学院】,815人最近报名,启程学院,免费,进度：5/10节
//ke.qq.com/course/125646,PS摄影后期修图／影楼后期／商业修图／风光调色／公开课,5471人最近报名,嗨森课堂,免费,进度：6/8节
,,2人购买,筑城网校,¥5376.22,课程10
//ke.qq.com/course/410524,抖音快手Vlog|引流吸粉|自媒体|新媒体赚钱|大鱼号百家号头条号,517人最近报名,榕意新媒体学院,免费,共2节
//ke.qq.com/course/418605,保70争80备考规划+马原轻松入门（无回放）,3828人最近报名,,免费,共1节
,,8人购买,学程教育,¥334.22,课程7
//ke.qq.com/course/450411,C#/.NET核心语法精讲【软谋教育】,356人最近报名,,免费,共6节
,,6人购买,菜子学院,¥3702.22,课程16
,,8580人最近报名,艾巴优教育,免费,共9节
//ke.qq.com/course/219473,定制家具3DMAX室内设计整装建模效果图CAD全屋板式衣柜橱柜护墙,529人最近报名,云艺帆教育,免费,共13节
//ke.qq.com/course/439491,极致化淘宝运营/带你走向财富自由之路【思睿电商】,6512人购买,思睿电商学院,¥77.22,共3节
,,5332人最近报名,得勤会计院,免费,共34节
,,585人购买,柠檬班,¥1462.22,课程2
,,826人最近报名,万象公考,免费,共23节
,,959人最近报名,阔维新课堂,免费,进度：6/6节
//ke.qq.com/course/315230,原画人零基础入门16期【纯子、杜详洋】,081人购买,,¥0272.22,随到随学
,,166人最近报名,金伟博教育,免费,共2节
//ke.qq.com/course/287331,Java基础入门阶段（javase教程，零基础java入门教程）（阶段一）,453人购买,拓薪教育,¥177.22,共212节
//ke.qq.com/course/364550,WOLF HCNA全套课程-为零基础、初学者量身打造-理论与配置案例,530人最近报名,沃尔夫CCIE实验室,免费,共27节
//ke.qq.com/course/422026,python基础编程/爬虫/人工智能/AI/数据分析/机器学习/深度学习,701人最近报名,灵犀教育,免费,共20节
,,019人购买,腾讯课堂NEXT学院,¥1566.22,共225节
//ke.qq.com/course/294295#term_id=100235260,【推荐】新媒体|自媒体|Vlog抖音快手头条大鱼百家企鹅爆文引流,870人最近报名,榕意新媒体学院,免费,共2节
,,2人购买,百聚汇商学院,¥9762.22,课程3
//ke.qq.com/course/294308#term_id=100235260,【精品】抖音快手Vlog引流吸粉自媒体|新媒体赚钱|大鱼号百家号,963人最近报名,榕意新媒体学院,免费,共2节
//ke.qq.com/course/300129,软件测试从小白到高手全程班【柠檬班】第67期,813人购买,,¥4162.22,随到随学
//ke.qq.com/course/253471,2020年中级会计师职称考试【中级会计经济法-精讲班】 名师授课,064人购买,瑞云学堂,¥376.22,共23节
,,83人购买,北京跨学网教育科技有限公司,¥837.22,课程2
//ke.qq.com/course/62849,战翼CG游戏原画角色场景-厚涂插画零基础 入门到精通,5253人最近报名,战翼CG文化教育,免费,共15节
//ke.qq.com/course/475235,【老姐语文】寒春同步直播班（加微信kaomiaomiao领资料）,1331人最近报名,乐考喵,免费,共3节
,,7人购买,光影学院,¥8062.22,课程3
//ke.qq.com/course/69700,『体验课』日语零基础轻松学，日语入门,5883人最近报名,蓝轨迹,免费,共6节
,,5004人最近报名,魔贝课凡,免费,共11节
//ke.qq.com/course/178625,土建直播公开课2-广联达BIM预算案例实操【启程学院】,5595人最近报名,启程学院,免费,共133节
//ke.qq.com/course/253487,2020年中级会计师职称考试【中级财务管理-精讲班】 名师授课,925人购买,瑞云学堂,¥376.22,共19节
,,98人最近报名,筑道教育,免费,共2节
,,996人最近报名,路科芯院,免费,共12节
//ke.qq.com/course/369263#term_id=100497369,【毕老师·消防全攻略】2020消防工程师备考公开课,300人最近报名,毕老师·消防全攻略,免费,共66节
//ke.qq.com/course/323635#term_id=100497369,Java架构师VIP课程,8830人购买,鲁班学院,¥4962.22,开设2个班级
,,523人购买,Rhino3D（犀牛）原厂中国/Shaper3d,¥412.22,课程2
,,523人最近报名,精诚医考王文龙,免费,共7节
,,3617人最近报名,云南对呀呀教育,免费,共30节
,,16人购买,筑道教育,¥0922.22,课程8
,,659人最近报名,赵海文,免费,进度：39/47节
,,2人购买,蜜蜂优课,¥5762.22,课程3
,,75人购买,蜜蜂优课,¥5566.22,课程2
//ke.qq.com/course/478474,武百分2020执业/助理医师资格考试代谢、内分泌系统考点精讲,5910人购买,武百分教育,¥17.22,共8节
//ke.qq.com/course/373502,ps/ps电商设计/淘宝美工/ps教程/平面设计/海报/主图/详情页/精修,02人最近报名,,免费,共2节
//ke.qq.com/course/458608,金尔森网校内科学主治直播课程,343人最近报名,金尔森网校,免费,进度：11/11节
,,5204人购买,马哥教育,¥4362.22,随到随学
,,0490人最近报名,中公医考网,免费,进度：1/1节
,,927人最近报名,西瓜商学院,免费,进度：4/5节
,,786人最近报名,大娃火焱社,免费,共3节
//ke.qq.com/course/398777,软件测试-Python自动化提升班【乐搏学院Web/APP/接口自动化】,589人购买,乐搏技术学院,¥1462.22,开设5个班级
,,910人最近报名,软谋教育,免费,共2节
//ke.qq.com/course/252637,室内设计师-家装工装-方案优化/建材施工/工程预算/谈单沟通,844人最近报名,,免费,共9节
//ke.qq.com/course/462860,JavaEE高级/javaweb/数据库/ssm框架/maven/linux,92人购买,拓薪教育,¥8777.22,共56节
//ke.qq.com/course/472120,未来教育二级ms office上机考试题库视频解析,4万人最近报名,未来教育,免费,共40节
//ke.qq.com/course/225814,小手飞影老师-彩铅基础/绘画/色彩/美术/设计速写/色调/排线/写实,361人最近报名,润木艺术,免费,共5节
//ke.qq.com/course/402016,软件测试之Java高级软件测试开发第1-2期【柠檬班】,97人购买,,¥53622,开设2个班级
,,5131人最近报名,,免费,进度：3/3节
//ke.qq.com/course/2243,室内施工图深化设计（CAD、预算、材料、工艺、现场）,364人最近报名,云艺帆教育,免费,进度：1/2节
//ke.qq.com/course/425393,UI设计进阶班/交互/APP设计/WEB设计/UI动效/UI插画/项目实训,36人购买,卓尔谟教育,¥8322.22,进度：4/6节
//ke.qq.com/course/292490,Python基础编程/爬虫/AI人工智能/数据分析/机器学习【六星教育】,3941人最近报名,,免费,进度：11/13节
//ke.qq.com/course/443541,Python零基础进阶全栈开发,3323人最近报名,逻辑教育,免费,进度：11/11节
//ke.qq.com/course/344487,Javaweb精通尊享铂金专业培训课程（直通JavaEE就业大门）,314人购买,拓薪教育,¥3977.22,共43节
//ke.qq.com/course/219438,Proe-Creo产品设计/结构设计【建模曲面结构零基础到精通】,034人最近报名,,免费,共19节
,,628人购买,腾讯课堂NEXT学院,¥007.22,共18节
